,team1.win,team1.composition.champion1,team1.composition.champion1_items,team1.composition.champion2,team1.composition.champion2_items,team1.composition.champion3,team1.composition.champion3_items,team1.composition.champion4,team1.composition.champion4_items,team1.composition.champion5,team1.composition.champion5_items,team2.win,team2.composition.champion6,team2.composition.champion6_items,team2.composition.champion7,team2.composition.champion7_items,team2.composition.champion8,team2.composition.champion8_items,team2.composition.champion9,team2.composition.champion9_items,team2.composition.champion10,team2.composition.champion10_items
0,False,Blitzcrank,"[3190, 2055, 3860, 3076, 3047, 0, 3364]",Kaisa,"[3006, 2031, 6671, 6676, 3123, 3086, 3363]",Ryze,"[3040, 2420, 6656, 3020, 1029, 2055, 3363]",Sejuani,"[6662, 2031, 2055, 3047, 1029, 8001, 3364]",Gangplank,"[2033, 3078, 3047, 3123, 6695, 1028, 3340]",True,Sona,"[3158, 6617, 1052, 3853, 2055, 1004, 3364]",Draven,"[0, 0, 0, 0, 0, 0, 3363]",Kayle,"[3115, 3111, 0, 1055, 1028, 0, 3340]",RekSai,"[3111, 2031, 3814, 1028, 0, 6693, 3364]",Yone,"[2031, 3006, 3086, 1054, 6673, 1018, 3340]"
1,True,Seraphine,"[3158, 6617, 3853, 3114, 1052, 2055, 3364]",Jhin,"[6676, 3086, 2015, 3009, 6671, 0, 3363]",Cassiopeia,"[3157, 6653, 4630, 0, 1082, 3070, 3340]",LeeSin,"[2031, 6630, 2055, 3047, 3071, 3133, 3340]",Nasus,"[1054, 3193, 3047, 6632, 1029, 1029, 3340]",False,Rakan,"[3860, 2055, 2065, 3158, 3916, 4642, 3364]",Caitlyn,"[1055, 6691, 6676, 3006, 3086, 1042, 3363]",Zed,"[6692, 6694, 6695, 3158, 3814, 1036, 3364]",Sejuani,"[3047, 3001, 3082, 0, 6662, 0, 3364]",Darius,"[3078, 2033, 3071, 3047, 3123, 0, 3363]"
2,False,Lulu,"[2055, 3158, 3860, 3011, 3114, 2065, 3364]",Tristana,"[3046, 3026, 1018, 3006, 6672, 3091, 3363]",TwistedFate,"[3157, 3094, 6656, 3041, 3158, 0, 3363]",Sejuani,"[3109, 3067, 2055, 3047, 3001, 6662, 3364]",Darius,"[3193, 3082, 1057, 3047, 3053, 3078, 3363]",True,Swain,"[3853, 3157, 4637, 6653, 3020, 0, 3364]",Syndra,"[3020, 1058, 3135, 0, 6655, 4628, 3363]",Akshan,"[6672, 3091, 1037, 3111, 1053, 1043, 3363]",LeeSin,"[3026, 2422, 3814, 6694, 6692, 0, 3340]",DrMundo,"[3143, 3076, 3047, 3065, 3068, 1028, 3364]"
3,False,Morgana,"[3158, 2065, 3157, 3853, 2055, 3011, 3364]",Caitlyn,"[3035, 6671, 1018, 3006, 3031, 3095, 3363]",Sylas,"[3158, 3157, 6656, 4629, 1056, 1058, 3364]",Evelynn,"[3152, 1058, 3041, 3089, 3135, 3020, 3363]",Rengar,"[3047, 3071, 6630, 1054, 3077, 1011, 3364]",True,Nautilus,"[3860, 2031, 3190, 3047, 3076, 0, 3364]",Tristana,"[1038, 6672, 2055, 1037, 3006, 3046, 3363]",Jayce,"[3042, 3158, 1036, 6692, 6609, 3134, 3363]",Viego,"[3111, 3091, 6632, 3211, 3067, 0, 3364]",Kennen,"[3089, 0, 3152, 3020, 3135, 3191, 3363]"
4,False,Rell,"[8001, 3860, 0, 3047, 3105, 3067, 3364]",Aphelios,"[3031, 6673, 3006, 6676, 1036, 2055, 3363]",Sylas,"[6656, 2033, 3157, 1058, 3158, 3082, 3363]",XinZhao,"[6630, 3143, 3044, 3047, 0, 6333, 3364]",Graves,"[3508, 6673, 3031, 3111, 1055, 1018, 3363]",True,Trundle,"[8001, 3857, 2403, 1033, 3047, 3067, 3364]",Jhin,"[6671, 3031, 1018, 3009, 6676, 1055, 3363]",Lucian,"[6671, 6694, 2055, 3133, 3006, 3123, 3363]",Evelynn,"[3152, 3089, 3135, 1082, 3020, 0, 3340]",Malphite,"[3047, 2033, 3082, 3075, 3067, 3068, 3340]"
5,False,Alistar,"[3050, 3067, 3190, 3859, 2055, 3117, 3364]",Yasuo,"[3031, 6673, 3033, 0, 3006, 0, 3340]",Cassiopeia,"[0, 1052, 1082, 6653, 3040, 4629, 3340]",Ekko,"[3152, 2031, 3020, 3041, 3115, 1058, 3364]",Gangplank,"[3158, 6632, 3053, 3004, 2033, 1036, 3363]",True,Sett,"[6631, 3047, 3855, 0, 2055, 0, 3364]",Samira,"[1055, 6673, 1036, 3047, 1036, 1018, 3340]",Ornn,"[2033, 3068, 3047, 1028, 0, 0, 3340]",LeeSin,"[0, 2031, 3111, 6692, 3134, 1028, 3340]",Ziggs,"[6653, 3020, 3070, 1052, 1058, 1082, 3340]"
6,False,Lulu,"[3853, 2065, 2055, 3504, 3114, 3158, 3364]",Aphelios,"[6673, 3006, 3026, 3031, 3085, 6676, 3363]",Ryze,"[3157, 6656, 3110, 3040, 1058, 3020, 3363]",XinZhao,"[6630, 2055, 3026, 3047, 3053, 0, 3364]",Aatrox,"[2420, 3053, 6630, 1054, 3111, 3133, 3340]",True,Bard,"[2065, 3114, 3853, 3117, 3067, 3011, 3364]",Ashe,"[1055, 3006, 3085, 3091, 0, 6673, 3363]",Lucian,"[6671, 6676, 1038, 6695, 6694, 3047, 3363]",Trundle,"[1031, 3053, 6632, 3066, 3075, 3047, 3364]",Teemo,"[4633, 3165, 3157, 1011, 3006, 3115, 3364]"
7,False,Trundle,"[3857, 8001, 3105, 1028, 0, 3047, 3364]",Yasuo,"[3006, 2421, 6673, 1031, 3031, 1055, 3363]",Galio,"[3152, 3157, 0, 3135, 3020, 1056, 3340]",Volibear,"[6632, 1037, 3065, 3158, 3044, 3742, 3364]",Akali,"[3020, 1056, 4633, 3041, 3165, 3157, 3340]",True,Nautilus,"[3860, 3190, 2055, 3047, 3076, 1028, 3364]",Kalista,"[6672, 3153, 3006, 3086, 1055, 1042, 3363]",Qiyana,"[6693, 2033, 3042, 3035, 1036, 3158, 3364]",Nidalee,"[6655, 4630, 3157, 0, 1082, 3020, 3364]",DrMundo,"[8001, 3065, 3068, 1054, 3111, 3076, 3363]"
8,False,Janna,"[2065, 3853, 3011, 3158, 1082, 3108, 3364]",Varus,"[1055, 6691, 3158, 3042, 3814, 2055, 3363]",Galio,"[3152, 3041, 1058, 3135, 1058, 3020, 3364]",Kindred,"[6672, 6676, 2031, 3031, 3006, 1018, 3364]",Jax,"[3153, 2033, 3078, 3091, 1037, 3158, 3340]",True,Pantheon,"[3864, 6692, 6676, 2055, 3117, 0, 3364]",Samira,"[1055, 6673, 6676, 3047, 1018, 0, 3363]",Sylas,"[6656, 2424, 1056, 3158, 4629, 2055, 3340]",Graves,"[6695, 6671, 6676, 1001, 1037, 1038, 3364]",Kennen,"[3152, 3157, 1055, 3020, 3108, 3067, 3340]"
9,True,Braum,"[3067, 3105, 3857, 0, 3111, 0, 3364]",Tristana,"[3006, 6672, 3046, 1055, 1038, 2055, 3363]",Leblanc,"[2033, 6655, 3020, 1056, 3165, 0, 3340]",Volibear,"[3158, 6632, 2055, 3157, 1028, 0, 3364]",Ornn,"[2055, 2033, 7005, 3111, 3075, 0, 3340]",False,Rakan,"[3853, 2065, 0, 1082, 1028, 3111, 3364]",Ashe,"[1055, 3091, 0, 1053, 3006, 6670, 3363]",Viktor,"[1056, 1082, 6655, 3100, 3020, 1058, 3363]",Trundle,"[6632, 3047, 3053, 3076, 1028, 0, 3364]",DrMundo,"[1054, 6662, 8001, 0, 3111, 3801, 3340]"
