,team1.win,team1.composition.champion1,team1.composition.champion1_items,team1.composition.champion2,team1.composition.champion2_items,team1.composition.champion3,team1.composition.champion3_items,team1.composition.champion4,team1.composition.champion4_items,team1.composition.champion5,team1.composition.champion5_items,team2.win,team2.composition.champion6,team2.composition.champion6_items,team2.composition.champion7,team2.composition.champion7_items,team2.composition.champion8,team2.composition.champion8_items,team2.composition.champion9,team2.composition.champion9_items,team2.composition.champion10,team2.composition.champion10_items
0,False,Yuumi,"[3853, 6617, 6616, 4642, 2055, 1052, 3364]",Xayah,"[6694, 6692, 2055, 0, 3158, 3042, 3363]",Leblanc,"[1082, 2033, 6655, 3020, 3165, 3135, 3364]",Hecarim,"[6662, 3121, 3158, 3065, 0, 0, 3364]",Teemo,"[3135, 4637, 0, 3115, 4633, 3020, 3364]",True,Alistar,"[3001, 3857, 2055, 1028, 3065, 3117, 3364]",Draven,"[3508, 3142, 6692, 3006, 3036, 0, 3363]",Yasuo,"[1057, 3006, 3033, 1055, 6673, 3031, 3364]",Ekko,"[4644, 3115, 1082, 4629, 0, 3020, 3364]",Kennen,"[3152, 3157, 3020, 1026, 4630, 0, 3363]"
1,True,Senna,"[3864, 6632, 3158, 3094, 1042, 0, 3363]",Brand,"[1056, 3157, 2031, 6653, 3020, 4630, 3340]",Xerath,"[6655, 3157, 4628, 1082, 3020, 0, 3363]",Shaco,"[3006, 3508, 6691, 3035, 1018, 1018, 3364]",Shen,"[1054, 3047, 3068, 3076, 1011, 0, 3340]",False,Taliyah,"[3157, 3853, 4632, 3020, 3108, 6655, 3364]",Jhin,"[6671, 3031, 3035, 3094, 1018, 3009, 3363]",Zed,"[1054, 3142, 6692, 3134, 3133, 3158, 3364]",Elise,"[3152, 3157, 2055, 1082, 3020, 4645, 3364]",Camille,"[1055, 6632, 3074, 6333, 3111, 0, 3340]"
2,True,Lux,"[3853, 4644, 3157, 3020, 2055, 3011, 3364]",MissFortune,"[6672, 3072, 3006, 1018, 1038, 1037, 3363]",Yasuo,"[6673, 3031, 3006, 1031, 3133, 0, 3364]",Kayn,"[3814, 6693, 3142, 3042, 3158, 3026, 3364]",Viktor,"[2033, 4644, 3157, 1058, 4629, 3020, 3363]",False,Sona,"[3853, 3107, 4643, 6617, 3070, 3158, 3364]",Jinx,"[3006, 6671, 6676, 3086, 2015, 0, 3363]",Zed,"[6691, 3134, 3047, 6696, 6694, 1036, 3363]",Akshan,"[6671, 3026, 3006, 6694, 3095, 3094, 3364]",Karthus,"[6653, 3157, 3041, 4645, 3020, 1058, 3340]"
3,False,Sona,"[3853, 3047, 6617, 3067, 2055, 3070, 3364]",Ezreal,"[3042, 6632, 3158, 1036, 0, 0, 3340]",Lux,"[1056, 6656, 3020, 2031, 3041, 4645, 3363]",Graves,"[3047, 3142, 6631, 2031, 2055, 3071, 3364]",Malphite,"[6662, 2033, 3076, 3047, 3082, 1029, 3340]",True,Blitzcrank,"[3860, 3190, 3047, 1028, 1033, 0, 3364]",Kaisa,"[6672, 2031, 0, 3006, 3036, 0, 3363]",Yasuo,"[6673, 3031, 3006, 1055, 1029, 0, 3364]",Kayn,"[3070, 2031, 6693, 3158, 3134, 3133, 3364]",Ornn,"[2033, 3111, 2055, 1054, 3075, 7004, 3363]"
4,True,Yuumi,"[6617, 3853, 3011, 3114, 6616, 1033, 3364]",Jhin,"[3026, 6671, 3036, 3031, 3094, 3009, 3363]",Viktor,"[4644, 3157, 3100, 3041, 4645, 3089, 3340]",LeeSin,"[3026, 6630, 2055, 3047, 0, 3053, 3340]",Fiora,"[6630, 3053, 3047, 3123, 3077, 1031, 3363]",False,Karma,"[3853, 2065, 6616, 3158, 3011, 1052, 3364]",Caitlyn,"[3006, 6671, 2055, 3033, 3031, 3036, 3363]",Corki,"[6655, 3157, 3135, 3020, 3042, 3074, 3363]",Elise,"[4632, 3152, 3157, 4645, 3047, 3165, 3364]",Camille,"[3026, 3047, 3053, 6632, 3074, 6333, 3340]"
5,False,Bard,"[3047, 1026, 3853, 0, 3001, 1028, 3364]",Lux,"[2033, 1082, 6655, 1058, 2422, 0, 3340]",Qiyana,"[3158, 2031, 3142, 0, 0, 6693, 3340]",Kindred,"[3006, 2031, 6672, 3086, 1036, 0, 3364]",Shen,"[6662, 2031, 1028, 0, 0, 1001, 3340]",True,Soraka,"[3851, 2055, 6617, 0, 1001, 0, 3340]",Caitlyn,"[6670, 1053, 2031, 1001, 1018, 0, 3340]",Zed,"[6691, 2031, 3158, 3035, 1036, 0, 3363]",JarvanIV,"[3044, 3067, 6029, 2422, 0, 0, 3364]",Lillia,"[1056, 2031, 3009, 6653, 0, 0, 3340]"
6,True,Seraphine,"[6617, 3011, 3853, 3158, 3070, 0, 3364]",Jhin,"[1055, 6671, 2031, 6695, 3047, 1018, 3363]",Veigar,"[3157, 6656, 3158, 0, 3089, 3040, 3363]",MasterYi,"[6672, 3143, 3006, 3091, 3044, 1037, 3364]",Camille,"[1054, 3748, 6632, 3044, 1028, 3047, 3340]",False,Sona,"[3040, 3853, 6617, 3158, 3011, 0, 3364]",Kaisa,"[1055, 6671, 3006, 6676, 3094, 0, 3340]",TwistedFate,"[3157, 6656, 0, 3094, 3158, 3100, 3340]",Viego,"[3091, 6673, 6333, 3026, 3047, 1037, 3364]",Irelia,"[3153, 3047, 6673, 1038, 6333, 1036, 3363]"
7,False,Zac,"[3076, 6662, 3860, 3047, 3211, 3067, 3364]",KogMaw,"[6671, 3143, 6675, 3006, 3046, 1018, 3363]",Vex,"[3020, 1058, 6655, 4645, 1058, 1082, 3340]",Rengar,"[3748, 6664, 6035, 3134, 3053, 3158, 3364]",Yasuo,"[1055, 6673, 3006, 3031, 6333, 0, 3340]",True,Lulu,"[3504, 3860, 2065, 3916, 0, 3158, 3364]",Jinx,"[1055, 3046, 6673, 3036, 3006, 0, 3363]",Veigar,"[4629, 6656, 3158, 3070, 3089, 0, 3363]",XinZhao,"[3047, 6333, 6630, 3053, 0, 0, 3364]",Urgot,"[6662, 3748, 3071, 3076, 1011, 3047, 3340]"
8,False,Zac,"[3047, 6662, 3860, 3083, 3065, 0, 3364]",Kayle,"[3115, 3006, 3157, 4633, 3091, 0, 3363]",Yasuo,"[3140, 3143, 3031, 3006, 3091, 6673, 3340]",RekSai,"[3053, 6693, 3047, 6676, 0, 0, 3364]",Caitlyn,"[6671, 3006, 6676, 3036, 3031, 0, 3363]",True,Soraka,"[6617, 3853, 3158, 3011, 3114, 1028, 3364]",Jhin,"[3031, 6671, 3047, 3036, 3086, 2055, 3363]",Veigar,"[3135, 6656, 2420, 3158, 3089, 3070, 3363]",Ekko,"[4645, 3152, 3157, 3057, 3113, 3047, 3364]",Tryndamere,"[6675, 6631, 3031, 3153, 3158, 3508, 3340]"
9,True,Swain,"[3860, 2421, 1052, 6653, 3916, 3047, 3364]",MissFortune,"[3036, 6671, 3123, 3006, 1018, 0, 3363]",Zed,"[3035, 6692, 3814, 3158, 3133, 0, 3364]",Renekton,"[4401, 6630, 3047, 3071, 0, 0, 3363]",Rammus,"[3068, 3105, 3111, 3075, 1033, 1029, 3364]",False,Soraka,"[6617, 3853, 3158, 3011, 1028, 0, 3364]",Jhin,"[6671, 3036, 1038, 3047, 1037, 1018, 3363]",Ahri,"[6653, 1082, 3135, 3020, 3089, 0, 3340]",Zac,"[2055, 3068, 1011, 1052, 3047, 3075, 3364]",Urgot,"[3076, 3071, 3047, 0, 3748, 6662, 3363]"
